dataset,token_setting,method,selection_method,run_id,layer_idx,sample_count,mean_unique_patch_count,mean_duplicate_patch_index_count,mean_bbox_area_ratio,mean_grid_occupancy_ratio,mean_distance_to_centroid,mean_quadrant_coverage_count
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,15,5000,27.307400,0.000000,0.764365,0.047409,7.277630,3.942600
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,2,5000,44.924000,0.000000,0.823559,0.077993,7.398111,3.972400
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,6,5000,37.282400,0.000000,0.814210,0.064726,7.368500,3.962200
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,15,5000,28.235800,0.000000,0.758106,0.049020,7.159366,3.952800
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,2,5000,57.285400,0.000000,0.843437,0.099454,7.347269,3.987000
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,6,5000,43.649000,0.000000,0.831914,0.075780,7.293990,3.982000
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,15,5000,29.163000,0.000000,0.764586,0.050630,7.088182,3.956000
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,2,5000,74.818200,0.000000,0.872691,0.129893,7.350819,3.995200
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,6,5000,48.477400,0.000000,0.852679,0.084162,7.256940,3.991400
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-64,15,5000,14.988800,0.000000,0.640541,0.026022,7.002464,3.838000
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-64,2,5000,66.000000,0.000000,0.861831,0.114583,7.334664,3.996000
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-64,6,5000,26.469600,0.000000,0.763385,0.045954,7.109409,3.983800
pope,128,Ours,mmr,POPE-OURS-128,15,1500,33.321333,0.000000,0.947807,0.057850,8.423348,3.998000
pope,128,Ours,mmr,POPE-OURS-128,2,1500,303.000000,0.000000,0.999500,0.526042,8.221443,4.000000
pope,128,Ours,mmr,POPE-OURS-128,6,1500,106.448000,0.000000,0.996056,0.184806,7.990884,4.000000
pope,128,SparseVLM-Original,topk,POPE-SPARSE-ORIG-128,15,1500,33.875333,0.000000,0.939264,0.058812,8.323659,3.996000
pope,128,SparseVLM-Original,topk,POPE-SPARSE-ORIG-128,2,1500,303.000000,0.000000,1.000000,0.526042,8.193503,4.000000
pope,128,SparseVLM-Original,topk,POPE-SPARSE-ORIG-128,6,1500,103.408000,0.000000,1.000000,0.179528,8.278806,4.000000
pope,128,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-128,15,1500,32.878000,0.000000,0.881514,0.057080,7.821930,3.980000
pope,128,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-128,2,1500,303.000000,0.000000,0.999444,0.526042,8.436092,4.000000
pope,128,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-128,6,1500,105.103333,0.000000,0.974111,0.182471,7.845291,4.000000
pope,64,Ours,mmr,POPE-OURS-64,15,1500,15.116667,0.000000,0.794150,0.026244,8.093704,3.842667
pope,64,Ours,mmr,POPE-OURS-64,2,1500,66.000000,0.000000,0.952722,0.114583,7.769585,3.988000
pope,64,Ours,mmr,POPE-OURS-64,6,1500,25.724000,0.000000,0.894741,0.044660,7.930175,3.978667
pope,64,SparseVLM-Original,topk,POPE-SPARSE-ORIG-64,15,1500,15.438000,0.000000,0.805836,0.026802,8.310373,3.830000
pope,64,SparseVLM-Original,topk,POPE-SPARSE-ORIG-64,2,1500,66.000000,0.000000,0.966083,0.114583,8.106822,3.958667
pope,64,SparseVLM-Original,topk,POPE-SPARSE-ORIG-64,6,1500,25.976667,0.000000,0.899071,0.045098,8.066260,3.952000
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-080,15,1500,27.286000,0.000000,0.786449,0.047372,7.585514,3.928000
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-080,2,1500,43.555333,0.000000,0.826177,0.075617,7.563888,3.981333
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-080,6,1500,36.786667,0.000000,0.816131,0.063866,7.536651,3.964667
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-085,15,1500,28.235333,0.000000,0.781296,0.049020,7.430520,3.904667
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-085,2,1500,54.868667,0.000000,0.838279,0.095258,7.513970,3.981333
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-085,6,1500,43.435333,0.000000,0.828852,0.075409,7.427691,3.967333
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-090,15,1500,29.141333,0.000000,0.785287,0.050593,7.353138,3.950667
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-090,2,1500,71.565333,0.000000,0.863213,0.124245,7.519843,3.984000
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-090,6,1500,48.053333,0.000000,0.847384,0.083426,7.352813,3.984000
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-64,15,1500,14.967333,0.000000,0.650552,0.025985,7.200703,3.754667
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-64,2,1500,66.000000,0.000000,0.857334,0.114583,7.467111,4.000000
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-64,6,1500,26.296667,0.000000,0.750397,0.045654,7.157290,3.968667
