dataset,token_setting,method,selection_method,run_id,layer_idx,sample_count,pairwise_available_count,pairwise_available,mean_pairwise_similarity_token_count,mean_mean_pairwise_similarity,mean_median_pairwise_similarity,mean_max_pairwise_similarity,mean_p90_pairwise_similarity,mean_similarity_above_0.80_ratio,mean_similarity_above_0.85_ratio,mean_similarity_above_0.90_ratio
gqa,128,Ours,mmr,GQA-OURS-128,6,5000,0,false,,,,,,,,
gqa,128,SparseVLM-Original,topk,GQA-SPARSE-ORIG-128,15,5000,0,false,,,,,,,,
gqa,128,SparseVLM-Original,topk,GQA-SPARSE-ORIG-128,2,5000,0,false,,,,,,,,
gqa,128,SparseVLM-Original,topk,GQA-SPARSE-ORIG-128,6,5000,0,false,,,,,,,,
gqa,128,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-128,15,5000,0,false,,,,,,,,
gqa,128,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-128,2,5000,0,false,,,,,,,,
gqa,128,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-128,6,5000,0,false,,,,,,,,
gqa,64,Ours,mmr,GQA-OURS-64,15,5000,0,false,,,,,,,,
gqa,64,Ours,mmr,GQA-OURS-64,2,5000,0,false,,,,,,,,
gqa,64,Ours,mmr,GQA-OURS-64,6,5000,0,false,,,,,,,,
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L05,15,500,500,true,17.000000,0.213907,0.193945,0.874667,0.409688,0.010029,0.009779,0.009691
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L05,2,500,500,true,66.000000,0.283232,0.250444,0.991333,0.574707,0.017577,0.007231,0.002764
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L05,6,500,500,true,30.000000,0.244791,0.231479,0.967904,0.503504,0.007867,0.006924,0.006699
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L07,15,500,500,true,17.000000,0.213340,0.146069,0.988431,0.459075,0.033044,0.032059,0.031559
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L07,2,500,500,true,66.000000,0.274454,0.239479,0.997653,0.567625,0.017917,0.008366,0.004477
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L07,6,500,500,true,30.000000,0.229635,0.205601,0.995673,0.497698,0.016851,0.014635,0.013738
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L08,15,500,500,true,17.000000,0.220174,0.127154,0.997237,0.522689,0.049206,0.046897,0.045662
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L08,2,500,500,true,66.000000,0.268689,0.231649,0.998785,0.562403,0.018677,0.009786,0.005990
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P2-L08,6,500,500,true,30.000000,0.223799,0.188483,0.997970,0.502509,0.023968,0.020726,0.018956
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P3-L05,15,500,500,true,17.000000,0.196494,0.167765,0.827656,0.387213,0.008235,0.008147,0.008147
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P3-L05,2,500,500,true,66.000000,0.290722,0.271245,0.981354,0.553473,0.006155,0.002140,0.001767
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P3-L05,6,500,500,true,30.000000,0.232135,0.227512,0.926556,0.461545,0.004915,0.004777,0.004763
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P3-L07,15,500,500,true,17.000000,0.200417,0.130405,0.983295,0.435827,0.030044,0.029471,0.029309
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P3-L07,2,500,500,true,66.000000,0.281580,0.260086,0.994316,0.547002,0.007309,0.003759,0.003296
gqa,64,Ours,mmr,GQA-STAGE8-OURS-64-P3-L07,6,500,500,true,30.000000,0.215373,0.196953,0.992679,0.454706,0.012782,0.012060,0.011802
gqa,64,SparseVLM-Original,topk,GQA-SPARSE-ORIG-64,15,5000,0,false,,,,,,,,
gqa,64,SparseVLM-Original,topk,GQA-SPARSE-ORIG-64,2,5000,0,false,,,,,,,,
gqa,64,SparseVLM-Original,topk,GQA-SPARSE-ORIG-64,6,5000,0,false,,,,,,,,
gqa,64,SparseVLM-Original,topk,GQA-STAGE8-SPARSE-ORIG-64,15,500,500,true,17.000000,0.244429,0.111892,0.999276,0.754452,0.096529,0.089250,0.081618
gqa,64,SparseVLM-Original,topk,GQA-STAGE8-SPARSE-ORIG-64,2,500,500,true,66.000000,0.259219,0.192131,0.999728,0.611645,0.053248,0.041366,0.028778
gqa,64,SparseVLM-Original,topk,GQA-STAGE8-SPARSE-ORIG-64,6,500,500,true,30.000000,0.250480,0.170486,0.999532,0.665455,0.071172,0.059301,0.046892
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,15,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,2,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,6,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,15,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,2,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,6,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,15,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,2,5000,0,false,,,,,,,,
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,6,5000,0,false,,,,,,,,
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-STAGE8-THRESHOLD-FIXED-64,15,500,500,true,17.000000,0.290032,0.276326,0.811306,0.568398,0.009265,0.000000,0.000000
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-STAGE8-THRESHOLD-FIXED-64,2,500,500,true,66.000000,0.304501,0.279356,0.847727,0.576632,0.012238,0.000000,0.000000
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-STAGE8-THRESHOLD-FIXED-64,6,500,500,true,30.000000,0.314447,0.291667,0.840818,0.616941,0.017453,0.000000,0.000000
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-64,15,5000,0,false,,,,,,,,
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-64,2,5000,0,false,,,,,,,,
gqa,64,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-64,6,5000,0,false,,,,,,,,
pope,128,Ours,mmr,POPE-OURS-128,15,1500,0,false,,,,,,,,
pope,128,Ours,mmr,POPE-OURS-128,2,1500,0,false,,,,,,,,
pope,128,Ours,mmr,POPE-OURS-128,6,1500,0,false,,,,,,,,
pope,128,SparseVLM-Original,topk,POPE-SPARSE-ORIG-128,15,1500,0,false,,,,,,,,
pope,128,SparseVLM-Original,topk,POPE-SPARSE-ORIG-128,2,1500,0,false,,,,,,,,
pope,128,SparseVLM-Original,topk,POPE-SPARSE-ORIG-128,6,1500,0,false,,,,,,,,
pope,128,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-128,15,1500,0,false,,,,,,,,
pope,128,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-128,2,1500,0,false,,,,,,,,
pope,128,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-128,6,1500,0,false,,,,,,,,
pope,64,Ours,mmr,POPE-OURS-64,15,1500,0,false,,,,,,,,
pope,64,Ours,mmr,POPE-OURS-64,2,1500,0,false,,,,,,,,
pope,64,Ours,mmr,POPE-OURS-64,6,1500,0,false,,,,,,,,
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L05,15,500,500,true,17.000000,0.212966,0.192329,0.870680,0.407603,0.010235,0.009882,0.009706
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L05,2,500,500,true,66.000000,0.281476,0.247795,0.995484,0.573035,0.018017,0.007438,0.002989
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L05,6,500,500,true,30.000000,0.242903,0.229128,0.977452,0.502152,0.008685,0.007168,0.006722
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L07,15,500,500,true,17.000000,0.212920,0.143526,0.987933,0.462021,0.036191,0.034294,0.033324
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L07,2,500,500,true,66.000000,0.272654,0.236683,0.998579,0.564681,0.018517,0.008797,0.005072
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L07,6,500,500,true,30.000000,0.228070,0.201021,0.997403,0.500195,0.019384,0.016041,0.014759
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L08,15,500,500,true,17.000000,0.220071,0.124196,0.998350,0.540195,0.054074,0.051235,0.049750
pope,64,Ours,mmr,POPE-STAGE8-OURS-64-P2-L08,2,500,500,true,66.000000,0.267275,0.229247,0.999075,0.560748,0.019295,0.010097,0.006569
