dataset,token_setting,layer_idx,pair,run_id_a,run_id_b,sample_count,mean_overlap_count,mean_overlap_ratio_a,mean_overlap_ratio_b,mean_jaccard_overlap
pope,128,15,ours_vs_sparse,POPE-OURS-128,POPE-SPARSE-ORIG-128,1500,20.424667,0.613241,0.602702,0.443473
pope,128,15,threshold_fixed_vs_sparse,POPE-THRESHOLD-FIXED-128,POPE-SPARSE-ORIG-128,1500,15.677333,0.476872,0.462937,0.310020
pope,128,15,ours_vs_threshold_fixed,POPE-OURS-128,POPE-THRESHOLD-FIXED-128,1500,16.555333,0.496894,0.503695,0.337343
pope,128,2,ours_vs_sparse,POPE-OURS-128,POPE-SPARSE-ORIG-128,1500,180.193333,0.594697,0.594697,0.425105
pope,128,2,threshold_fixed_vs_sparse,POPE-THRESHOLD-FIXED-128,POPE-SPARSE-ORIG-128,1500,232.153333,0.766183,0.766183,0.626329
pope,128,2,ours_vs_threshold_fixed,POPE-OURS-128,POPE-THRESHOLD-FIXED-128,1500,219.835333,0.725529,0.725529,0.571911
pope,128,6,ours_vs_sparse,POPE-OURS-128,POPE-SPARSE-ORIG-128,1500,59.419333,0.558354,0.574574,0.400666
pope,128,6,threshold_fixed_vs_sparse,POPE-THRESHOLD-FIXED-128,POPE-SPARSE-ORIG-128,1500,49.921333,0.474995,0.482622,0.316216
pope,128,6,ours_vs_threshold_fixed,POPE-OURS-128,POPE-THRESHOLD-FIXED-128,1500,62.040667,0.582967,0.590415,0.416880
pope,64,15,ours_vs_sparse,POPE-OURS-64,POPE-SPARSE-ORIG-64,1500,9.472667,0.627108,0.613767,0.457619
pope,64,15,threshold_fixed_vs_sparse,POPE-THRESHOLD-FIXED-64,POPE-SPARSE-ORIG-64,1500,6.327333,0.421417,0.409460,0.267552
pope,64,15,ours_vs_threshold_fixed,POPE-OURS-64,POPE-THRESHOLD-FIXED-64,1500,7.517333,0.496582,0.502283,0.339356
pope,64,2,ours_vs_sparse,POPE-OURS-64,POPE-SPARSE-ORIG-64,1500,37.756667,0.572071,0.572071,0.403167
pope,64,2,threshold_fixed_vs_sparse,POPE-THRESHOLD-FIXED-64,POPE-SPARSE-ORIG-64,1500,30.427333,0.461020,0.461020,0.301924
pope,64,2,ours_vs_threshold_fixed,POPE-OURS-64,POPE-THRESHOLD-FIXED-64,1500,44.151333,0.668960,0.668960,0.506324
pope,64,6,ours_vs_sparse,POPE-OURS-64,POPE-SPARSE-ORIG-64,1500,14.414667,0.560357,0.555034,0.392928
pope,64,6,threshold_fixed_vs_sparse,POPE-THRESHOLD-FIXED-64,POPE-SPARSE-ORIG-64,1500,11.862000,0.449497,0.455608,0.296643
pope,64,6,ours_vs_threshold_fixed,POPE-OURS-64,POPE-THRESHOLD-FIXED-64,1500,13.524667,0.524502,0.513674,0.354572
