run_id,dataset,pope_split,method,selection_method,token_setting,threshold_tau,sample_count,accuracy,f1,precision,recall,yes_ratio,tp,tn,fp,fn
POPE-THRESHOLD-ADAPT-090,POPE,all,Threshold-Adaptive,threshold_adaptive,64,0.9,1500,0.8353333333333334,0.8431746031746032,0.8157248157248157,0.8725361366622865,0.5426666666666666,664,589,150,97
POPE-THRESHOLD-ADAPT-090,POPE,adversarial,Threshold-Adaptive,threshold_adaptive,64,0.9,500,0.772,0.7927272727272726,0.7266666666666667,0.872,0.6,218,168,82,32
POPE-THRESHOLD-ADAPT-090,POPE,popular,Threshold-Adaptive,threshold_adaptive,64,0.9,500,0.864,0.8650793650793651,0.8582677165354331,0.872,0.508,218,214,36,32
POPE-THRESHOLD-ADAPT-090,POPE,random,Threshold-Adaptive,threshold_adaptive,64,0.9,500,0.87,0.8752399232245681,0.8769230769230769,0.8735632183908046,0.52,228,207,32,33
