run_id,dataset,pope_split,method,selection_method,token_setting,sample_count,accuracy,f1,precision,recall,yes_ratio,average_retained_tokens,min_retained_tokens,max_retained_tokens,prediction_file,metric_file,log_file,status
POPE-DENSE-576,POPE,all,Dense / Vanilla,dense,576,8910,0.8518518518518519,0.8607594936708859,0.8192771084337349,0.9066666666666666,0.5589225589225589,,,,/kaggle/working/pope_main_results/results/pope/predictions/pope_dense_576.jsonl,/kaggle/working/pope_main_results/results/pope/pope_dense_576.csv,/kaggle/working/pope_main_results/logs/POPE-DENSE-576.jsonl,ok
POPE-DENSE-576,POPE,adversarial,Dense / Vanilla,dense,576,3000,0.7973333333333333,0.8173076923076923,0.7439824945295405,0.9066666666666666,0.6093333333333333,,,,/kaggle/working/pope_main_results/results/pope/predictions/pope_dense_576.jsonl,/kaggle/working/pope_main_results/results/pope/pope_dense_576.csv,/kaggle/working/pope_main_results/logs/POPE-DENSE-576.jsonl,ok
POPE-DENSE-576,POPE,popular,Dense / Vanilla,dense,576,3000,0.8616666666666667,0.8676236044657097,0.8318042813455657,0.9066666666666666,0.545,,,,/kaggle/working/pope_main_results/results/pope/predictions/pope_dense_576.jsonl,/kaggle/working/pope_main_results/results/pope/pope_dense_576.csv,/kaggle/working/pope_main_results/logs/POPE-DENSE-576.jsonl,ok
POPE-DENSE-576,POPE,random,Dense / Vanilla,dense,576,2910,0.8979381443298969,0.9015578389128273,0.8965062623599209,0.9066666666666666,0.5213058419243987,,,,/kaggle/working/pope_main_results/results/pope/predictions/pope_dense_576.jsonl,/kaggle/working/pope_main_results/results/pope/pope_dense_576.csv,/kaggle/working/pope_main_results/logs/POPE-DENSE-576.jsonl,ok
