evaluation_group,dataset,run_id,method,selection_method,token_setting,tau,sample_count,source_sample_count,accuracy_or_score,f1,correct,total,recovery_rate,failure_type_binary_mismatch,failure_type_open_answer_mismatch,failure_type_empty_answer,sparse_wrong_ours_right,sparse_wrong_threshold_right,sparse_wrong_both_not_fixed,average_retained_tokens,min_retained_tokens,max_retained_tokens,prediction_file
adaptive_threshold,POPE,POPE-THRESHOLD-ADAPT-090,Threshold-Adaptive,threshold_adaptive,64,0.9,1500,1500,0.8353333333333334,0.8431746031746032,,1500,,,,,,,,34.106,31,35,outputs/raw_results/pope_thres_090/results/pope/predictions/pope_threshold_adaptive_tau090.jsonl
main_fixed_budget,Failure-mining,FM-DENSE-576,Dense / Vanilla,dense,576,,100,100,0.78,,78,100,,4,18,0,,,,576.0,576,576,outputs/raw_results/fm_dense_576/results/failure_mining/predictions/failure_mining_dense_576.jsonl
main_fixed_budget,Failure-mining,FM-SPARSE-ORIG-128,SparseVLM-Original,topk,128,,100,100,0.79,,79,100,0.0,2,19,0,2,2,19,39.0,39,39,outputs/raw_results/fm_sparse_128/results/failure_mining/predictions/failure_mining_sparsevlm_original_128.jsonl
main_fixed_budget,Failure-mining,FM-SPARSE-ORIG-64,SparseVLM-Original,topk,64,,100,100,0.7,,70,100,0.0,6,24,0,10,7,20,18.0,18,18,outputs/raw_results/fm_sparse_64/results/failure_mining/predictions/failure_mining_sparsevlm_original_64.jsonl
main_fixed_budget,Failure-mining,FM-OURS-128,Ours,mmr,128,,100,100,0.79,,79,100,0.09523809523809523,4,17,0,2,2,19,39.0,39,39,outputs/raw_results/fm_ours_128/results/failure_mining/predictions/failure_mining_ours_128.jsonl
main_fixed_budget,Failure-mining,FM-OURS-64,Ours,mmr,64,,100,100,0.75,,75,100,0.3333333333333333,4,21,0,10,7,20,18.0,18,18,outputs/raw_results/fm_ours_64/results/failure_mining/predictions/failure_mining_ours_64.jsonl
main_fixed_budget,Failure-mining,FM-THRESHOLD-FIXED-128,Threshold-Fixed-k,threshold_fixed,128,,100,100,0.74,,74,100,0.09523809523809523,6,20,0,2,2,19,39.0,39,39,outputs/raw_results/fm_thres_128/results/failure_mining/predictions/failure_mining_threshold_fixed_128.jsonl
main_fixed_budget,Failure-mining,FM-THRESHOLD-FIXED-64,Threshold-Fixed-k,threshold_fixed,64,,100,100,0.7,,70,100,0.23333333333333334,5,25,0,10,7,20,18.0,18,18,outputs/raw_results/fm_thres_64/results/failure_mining/predictions/failure_mining_threshold_fixed_64.jsonl
adaptive_threshold,Failure-mining,FM-THRESHOLD-ADAPT-080,Threshold-Adaptive,threshold_adaptive,64,0.8,100,100,0.75,,75,100,0.3,4,21,0,10,7,20,33.18,28,35,outputs/raw_results/fm_thres_080/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau080.jsonl
adaptive_threshold,Failure-mining,FM-THRESHOLD-ADAPT-085,Threshold-Adaptive,threshold_adaptive,64,0.85,100,100,0.73,,73,100,0.3,4,23,0,10,7,20,33.61,31,35,outputs/raw_results/fm_thres_085/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau085.jsonl
adaptive_threshold,Failure-mining,FM-THRESHOLD-ADAPT-090,Threshold-Adaptive,threshold_adaptive,64,0.9,100,100,0.75,,75,100,0.3,4,21,0,10,7,20,34.02,31,35,outputs/raw_results/fm_thres_090/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau090.jsonl
