dataset,run_id,method,selection_method,token_setting,sample_count,source_sample_count,accuracy,f1,precision,recall,yes_ratio,tp,tn,fp,fn,average_retained_tokens,min_retained_tokens,max_retained_tokens,prediction_file
POPE,POPE-DENSE-576,Dense / Vanilla,dense,576,1500,8910,0.8653333333333333,0.8760736196319019,0.8216340621403913,0.938239159001314,0.5793333333333334,714,584,155,47,576.0,576,576,outputs/raw_results/pope_full_dense/results/pope/predictions/pope_dense_576.jsonl
POPE,POPE-SPARSE-ORIG-128,SparseVLM-Original,topk,128,1500,1500,0.8533333333333334,0.8631840796019902,0.8193624557260921,0.911957950065703,0.5646666666666667,694,586,153,67,39.0,39,39,outputs/raw_results/pope_sparse_128/results/pope/predictions/pope_sparsevlm_original_128.jsonl
POPE,POPE-SPARSE-ORIG-64,SparseVLM-Original,topk,64,1500,1500,0.81,0.8181238034460753,0.7952853598014888,0.8423127463863338,0.5373333333333333,641,574,165,120,18.0,18,18,outputs/raw_results/pope_sparse_64/results/pope/predictions/pope_sparsevlm_original_64.jsonl
POPE,POPE-OURS-128,Ours,mmr,128,1500,1500,0.8526666666666667,0.8659793814432989,0.8040540540540541,0.938239159001314,0.592,714,565,174,47,39.0,39,39,outputs/raw_results/pope_ours_128/results/pope/predictions/pope_ours_128.jsonl
POPE,POPE-OURS-64,Ours,mmr,64,1500,1500,0.83,0.8409232688708671,0.8004750593824228,0.885676741130092,0.5613333333333334,674,571,168,87,18.0,18,18,outputs/raw_results/pope_ours_64/results/pope/predictions/pope_ours_64.jsonl
POPE,POPE-THRESHOLD-FIXED-128,Threshold-Fixed-k,threshold_fixed,128,1500,1500,0.8506666666666667,0.8640776699029127,0.8027057497181511,0.9356110381077529,0.5913333333333334,712,564,175,49,39.0,39,39,outputs/raw_results/pope_thres_128/results/pope/predictions/pope_threshold_fixed_128.jsonl
POPE,POPE-THRESHOLD-FIXED-64,Threshold-Fixed-k,threshold_fixed,64,1500,1500,0.8433333333333334,0.8533998752339363,0.8123515439429929,0.8988173455978975,0.5613333333333334,684,581,158,77,18.0,18,18,outputs/raw_results/pope_thres_64/results/pope/predictions/pope_threshold_fixed_64.jsonl
