run_id,dataset,pope_split,method,selection_method,token_setting,sample_count,accuracy,f1,precision,recall,yes_ratio,average_retained_tokens,min_retained_tokens,max_retained_tokens,threshold_tau,prediction_file,metric_file,log_file,status
POPE-THRESHOLD-ADAPT-080,POPE,all,Threshold-Adaptive,threshold_adaptive,64,1500,0.824,0.8335435056746533,0.8012121212121213,0.8685939553219448,0.55,33.182,30,35,0.8,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau080.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau080.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-080.jsonl,ok
POPE-THRESHOLD-ADAPT-080,POPE,adversarial,Threshold-Adaptive,threshold_adaptive,64,500,0.746,0.7736185383244206,0.6977491961414791,0.868,0.622,33.182,30,35,0.8,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau080.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau080.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-080.jsonl,ok
POPE-THRESHOLD-ADAPT-080,POPE,popular,Threshold-Adaptive,threshold_adaptive,64,500,0.86,0.861111111111111,0.8543307086614174,0.868,0.508,33.182,30,35,0.8,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau080.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau080.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-080.jsonl,ok
POPE-THRESHOLD-ADAPT-080,POPE,random,Threshold-Adaptive,threshold_adaptive,64,500,0.866,0.8714011516314779,0.8730769230769231,0.8697318007662835,0.52,33.182,30,35,0.8,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau080.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau080.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-080.jsonl,ok
