run_id,dataset,pope_split,method,selection_method,token_setting,sample_count,accuracy,f1,precision,recall,yes_ratio,average_retained_tokens,min_retained_tokens,max_retained_tokens,threshold_tau,prediction_file,metric_file,log_file,status
POPE-OURS-64,POPE,all,Ours,mmr,64,1500,0.83,0.8409232688708671,0.8004750593824228,0.885676741130092,0.5613333333333334,18.0,18,18,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_64.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_64.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-64.jsonl,ok
POPE-OURS-64,POPE,adversarial,Ours,mmr,64,500,0.762,0.7878787878787878,0.7106109324758842,0.884,0.622,18.0,18,18,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_64.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_64.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-64.jsonl,ok
POPE-OURS-64,POPE,popular,Ours,mmr,64,500,0.862,0.8649706457925637,0.8467432950191571,0.884,0.522,18.0,18,18,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_64.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_64.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-64.jsonl,ok
POPE-OURS-64,POPE,random,Ours,mmr,64,500,0.866,0.8738229755178908,0.8592592592592593,0.8888888888888888,0.54,18.0,18,18,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_64.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_64.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-64.jsonl,ok
