run_id,dataset,pope_split,method,selection_method,token_setting,threshold_tau,sample_count,accuracy,f1,precision,recall,yes_ratio,tp,tn,fp,fn
POPE-THRESHOLD-FIXED-128,POPE,all,Threshold-Fixed-k,threshold_fixed,128,,1500,0.8506666666666667,0.8640776699029127,0.8027057497181511,0.9356110381077529,0.5913333333333334,712,564,175,49
POPE-THRESHOLD-FIXED-128,POPE,adversarial,Threshold-Fixed-k,threshold_fixed,128,,500,0.784,0.8125000000000001,0.7177914110429447,0.936,0.652,234,158,92,16
POPE-THRESHOLD-FIXED-128,POPE,popular,Threshold-Fixed-k,threshold_fixed,128,,500,0.876,0.8830188679245283,0.8357142857142857,0.936,0.56,234,204,46,16
POPE-THRESHOLD-FIXED-128,POPE,random,Threshold-Fixed-k,threshold_fixed,128,,500,0.892,0.9003690036900369,0.8683274021352313,0.9348659003831418,0.562,244,202,37,17
