run_id,dataset,pope_split,method,selection_method,token_setting,threshold_tau,sample_count,accuracy,f1,precision,recall,yes_ratio,tp,tn,fp,fn
POPE-SPARSE-ORIG-64,POPE,all,SparseVLM-Original,topk,64,,1500,0.81,0.8181238034460753,0.7952853598014888,0.8423127463863338,0.5373333333333333,641,574,165,120
POPE-SPARSE-ORIG-64,POPE,adversarial,SparseVLM-Original,topk,64,,500,0.738,0.7622504537205081,0.6976744186046512,0.84,0.602,210,159,91,40
POPE-SPARSE-ORIG-64,POPE,popular,SparseVLM-Original,topk,64,,500,0.85,0.8484848484848485,0.8571428571428571,0.84,0.49,210,215,35,40
POPE-SPARSE-ORIG-64,POPE,random,SparseVLM-Original,topk,64,,500,0.842,0.8483685220729366,0.85,0.8467432950191571,0.52,221,200,39,40
