run_id,dataset,pope_split,method,selection_method,token_setting,sample_count,accuracy,f1,precision,recall,yes_ratio,average_retained_tokens,min_retained_tokens,max_retained_tokens,threshold_tau,prediction_file,metric_file,log_file,status
POPE-THRESHOLD-ADAPT-085,POPE,all,Threshold-Adaptive,threshold_adaptive,64,1500,0.834,0.841502227880331,0.8160493827160494,0.8685939553219448,0.54,33.616,30,35,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau085.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau085.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-085.jsonl,ok
POPE-THRESHOLD-ADAPT-085,POPE,adversarial,Threshold-Adaptive,threshold_adaptive,64,500,0.762,0.7848101265822786,0.7161716171617162,0.868,0.606,33.616,30,35,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau085.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau085.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-085.jsonl,ok
POPE-THRESHOLD-ADAPT-085,POPE,popular,Threshold-Adaptive,threshold_adaptive,64,500,0.872,0.8714859437751004,0.875,0.868,0.496,33.616,30,35,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau085.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau085.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-085.jsonl,ok
POPE-THRESHOLD-ADAPT-085,POPE,random,Threshold-Adaptive,threshold_adaptive,64,500,0.868,0.8730769230769231,0.8764478764478765,0.8697318007662835,0.518,33.616,30,35,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_adaptive_tau085.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_adaptive_tau085.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-ADAPT-085.jsonl,ok
