run_id,dataset,pope_split,method,selection_method,token_setting,sample_count,accuracy,f1,precision,recall,yes_ratio,average_retained_tokens,min_retained_tokens,max_retained_tokens,threshold_tau,prediction_file,metric_file,log_file,status
POPE-THRESHOLD-FIXED-128,POPE,all,Threshold-Fixed-k,threshold_fixed,128,1500,0.8506666666666667,0.8640776699029127,0.8027057497181511,0.9356110381077529,0.5913333333333334,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_fixed_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_fixed_128.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-FIXED-128.jsonl,ok
POPE-THRESHOLD-FIXED-128,POPE,adversarial,Threshold-Fixed-k,threshold_fixed,128,500,0.784,0.8125000000000001,0.7177914110429447,0.936,0.652,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_fixed_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_fixed_128.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-FIXED-128.jsonl,ok
POPE-THRESHOLD-FIXED-128,POPE,popular,Threshold-Fixed-k,threshold_fixed,128,500,0.876,0.8830188679245283,0.8357142857142857,0.936,0.56,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_fixed_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_fixed_128.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-FIXED-128.jsonl,ok
POPE-THRESHOLD-FIXED-128,POPE,random,Threshold-Fixed-k,threshold_fixed,128,500,0.892,0.9003690036900369,0.8683274021352313,0.9348659003831418,0.562,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_threshold_fixed_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_threshold_fixed_128.csv,/kaggle/working/pope_main_results/logs/POPE-THRESHOLD-FIXED-128.jsonl,ok
