run_id,dataset,pope_split,method,selection_method,token_setting,sample_count,accuracy,f1,precision,recall,yes_ratio,average_retained_tokens,min_retained_tokens,max_retained_tokens,threshold_tau,prediction_file,metric_file,log_file,status
POPE-OURS-128,POPE,all,Ours,mmr,128,1500,0.8526666666666667,0.8659793814432989,0.8040540540540541,0.938239159001314,0.592,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_128.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-128.jsonl,ok
POPE-OURS-128,POPE,adversarial,Ours,mmr,128,500,0.792,0.818815331010453,0.7253086419753086,0.94,0.648,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_128.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-128.jsonl,ok
POPE-OURS-128,POPE,popular,Ours,mmr,128,500,0.872,0.8801498127340824,0.8274647887323944,0.94,0.568,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_128.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-128.jsonl,ok
POPE-OURS-128,POPE,random,Ours,mmr,128,500,0.894,0.9020332717190389,0.8714285714285714,0.9348659003831418,0.56,39.0,39,39,0.85,/kaggle/working/pope_main_results/results/pope/predictions/pope_ours_128.jsonl,/kaggle/working/pope_main_results/results/pope/pope_ours_128.csv,/kaggle/working/pope_main_results/logs/POPE-OURS-128.jsonl,ok
