run_id,dataset,pope_split,method,selection_method,token_setting,threshold_tau,sample_count,accuracy,f1,precision,recall,yes_ratio,tp,tn,fp,fn
POPE-SPARSE-ORIG-128,POPE,all,SparseVLM-Original,topk,128,,1500,0.8533333333333334,0.8631840796019902,0.8193624557260921,0.911957950065703,0.5646666666666667,694,586,153,67
POPE-SPARSE-ORIG-128,POPE,adversarial,SparseVLM-Original,topk,128,,500,0.786,0.8099467140319716,0.7284345047923323,0.912,0.626,228,165,85,22
POPE-SPARSE-ORIG-128,POPE,popular,SparseVLM-Original,topk,128,,500,0.88,0.8837209302325582,0.8571428571428571,0.912,0.532,228,212,38,22
POPE-SPARSE-ORIG-128,POPE,random,SparseVLM-Original,topk,128,,500,0.894,0.8998109640831758,0.8880597014925373,0.9118773946360154,0.536,238,209,30,23
